agente_id,equipo_id,protocolo,canal,tiempo_resolucion
1,1,Antes,Chat,43.3
2,1,Antes,Chat,32.8
3,1,Antes,Telefono,42.2
4,1,Antes,Chat,39.3
5,1,Antes,Telefono,37.6
6,1,Antes,Chat,32.9
7,1,Antes,Chat,43.0
8,1,Antes,Chat,42.3
9,1,Antes,Chat,38.6
10,1,Antes,Chat,37.5
11,2,Antes,Chat,12.4
12,2,Antes,Telefono,19.5
13,2,Antes,Telefono,34.8
14,2,Antes,Chat,22.2
15,2,Antes,Chat,11.0
16,2,Antes,Chat,35.9
17,2,Antes,Chat,28.7
18,2,Antes,Telefono,42.9
19,2,Antes,Chat,24.5
20,2,Antes,Chat,19.8
21,3,Despues,Chat,26.4
22,3,Despues,Chat,51.3
23,3,Despues,Telefono,62.5
24,3,Despues,Chat,32.0
25,3,Despues,Chat,33.6
26,3,Despues,Chat,44.8
27,3,Despues,Chat,31.9
28,3,Despues,Chat,37.0
29,3,Despues,Telefono,36.3
30,3,Despues,Chat,41.1
31,4,Antes,Chat,44.3
32,4,Antes,Chat,34.6
33,4,Antes,Chat,42.7
34,4,Antes,Telefono,30.6
35,4,Antes,Chat,37.4
36,4,Antes,Chat,15.2
37,4,Antes,Chat,21.4
38,4,Antes,Chat,41.6
39,4,Antes,Telefono,29.1
40,4,Antes,Chat,39.6
41,5,Antes,Chat,44.0
42,5,Antes,Chat,51.0
43,5,Antes,Chat,46.4
44,5,Antes,Chat,48.2
45,5,Antes,Chat,38.1
46,5,Antes,Telefono,32.8
47,5,Antes,Chat,32.5
48,5,Antes,Chat,34.7
49,5,Antes,Telefono,28.9
50,5,Antes,Chat,34.2
51,6,Despues,Chat,28.3
52,6,Despues,Chat,31.4
53,6,Despues,Telefono,26.1
54,6,Despues,Chat,11.9
55,6,Despues,Telefono,28.5
56,6,Despues,Chat,31.2
57,6,Despues,Chat,38.9
58,6,Despues,Chat,34.4
59,6,Despues,Chat,23.4
60,6,Despues,Telefono,22.7
61,7,Antes,Chat,50.8
62,7,Antes,Telefono,39.5
63,7,Antes,Chat,49.2
64,7,Antes,Chat,51.9
65,7,Antes,Chat,25.4
66,7,Antes,Telefono,36.2
67,7,Antes,Telefono,36.8
68,7,Antes,Chat,37.8
69,7,Antes,Chat,37.6
70,7,Antes,Chat,34.5
71,8,Antes,Telefono,39.3
72,8,Antes,Chat,24.3
73,8,Antes,Chat,36.3
74,8,Antes,Chat,31.1
75,8,Antes,Chat,38.9
76,8,Antes,Telefono,33.6
77,8,Antes,Telefono,43.3
78,8,Antes,Chat,45.2
79,8,Antes,Chat,40.6
80,8,Antes,Chat,40.6
