dia,tiempo_prom_diario
1,34.28
2,32.81
3,32.85
4,31.88
5,34.0
6,34.04
7,35.77
8,30.99
9,35.01
10,32.26
11,30.84
12,31.67
13,31.03
14,33.24
15,31.86
16,29.61
17,29.05
18,35.21
19,34.8
20,30.94
21,32.34
22,28.42
23,36.3
24,30.69
25,33.62
26,35.42
27,30.43
28,32.94
29,36.41
30,36.73
31,36.28
32,38.1
33,36.74
34,36.52
35,35.0
36,36.45
37,32.52
38,35.56
39,33.34
40,30.37
41,33.1
42,38.58
43,39.41
44,35.43
45,36.88
46,34.22
47,33.75
48,34.13
49,27.12
50,30.79
51,25.65
52,25.74
53,23.46
54,22.08
55,23.04
56,28.87
57,34.6
58,32.68
59,34.97
60,32.17
61,25.68
62,28.3
63,30.63
64,29.28
65,30.74
66,32.35
67,28.93
68,25.2
69,26.92
70,27.9
71,28.01
72,32.09
73,36.55
74,32.58
75,33.74
76,35.1
77,35.17
78,36.21
79,32.47
80,33.81
81,38.39
82,37.25
83,32.35
84,33.34
85,35.85
86,34.55
87,31.04
88,35.42
89,29.46
90,31.44
91,30.97
92,27.18
93,32.33
94,32.55
95,28.13
96,31.0
97,29.48
98,24.23
99,24.99
100,28.26
